Tarih,Gerçek,LSTM_Prob,RF_Prob,AI_Signal_Strength
2024-05-31,0,0.27205354,0.13180430983881508,0.21595385672799888
2024-06-03,0,0.27311644,0.13684923239593277,0.21860956564762024
2024-06-04,0,0.27479035,0.13563128367798405,0.21912672442490608
2024-06-05,0,0.2744365,0.14943185099037815,0.22443465450633499
2024-06-06,0,0.27375188,0.1542525792816947,0.2259521655122308
2024-06-07,1,0.27417168,0.16420863988775533,0.23018646408231466
2024-06-10,1,0.27599502,0.17267743345323086,0.2346679949610348
2024-06-11,1,0.27842307,0.17273414457034708,0.23614750633315898
2024-06-12,1,0.280646,0.31073109817627953,0.2926800460105097
2024-06-13,0,0.28088945,0.3248544747996561,0.29847547274304365
2024-06-14,0,0.2815604,0.35489551585482276,0.3108944440347621
2024-06-20,0,0.28143924,0.3658804728881557,0.3152157389837916
2024-06-21,0,0.2819171,0.36065116721239704,0.31341072995601904
2024-06-24,1,0.28254277,0.35757424413547395,0.3125553656792064
2024-06-25,0,0.28239104,0.3565526494510886,0.31205569661171906
2024-06-26,0,0.27961022,0.35840757746880736,0.3111291698987702
2024-06-27,0,0.27813426,0.366587231148461,0.3135154553608813
2024-06-28,0,0.27755606,0.36158723114846103,0.31116854142712735
2024-07-01,0,0.2768153,0.36158723114846103,0.31072406959103727
2024-07-02,0,0.27709633,0.3705958290320588,0.3144961302845459
2024-07-03,0,0.27828753,0.27330023419217286,0.27629261164409324
2024-07-04,0,0.2795158,0.2272865532943432,0.25862410601412555
2024-07-05,0,0.28009808,0.18664257678310076,0.2427158880349795
2024-07-08,0,0.28116745,0.17999882900332678,0.2407000031217546
2024-07-09,0,0.28236642,0.21176704296201065,0.25412667206418355
2024-07-10,0,0.2829978,0.2816619849043029,0.2824634661609704
2024-07-11,0,0.2828367,0.27413082462832694,0.27935435311907675
2024-07-12,0,0.28312266,0.25430626322481814,0.2715961005276592
2024-07-16,0,0.28364205,0.24870402232845962,0.2696668470543239
2024-07-17,0,0.28328174,0.24285930465997146,0.2671127739403283
2024-07-18,0,0.2835016,0.2503776917962467,0.2702520338737263
2024-07-19,0,0.28456602,0.2570443584629134,0.27355736430916133
2024-07-22,0,0.28625476,0.26470519400418374,0.27763494768452873
2024-07-23,0,0.28688625,0.26433352765883317,0.2778651580709033
2024-07-24,0,0.2877828,0.2643115375460592,0.27839429394489157
2024-07-25,0,0.28868786,0.26885991982162777,0.2807566898725064
2024-07-26,0,0.29032192,0.28446168956638845,0.28797783457232107
2024-07-29,0,0.29191843,0.2943125103908935,0.2928760691483084
2024-07-30,0,0.29384515,0.2613669353126495,0.2808538712024295
2024-07-31,0,0.29538456,0.25840443507838734,0.2805925195853253
2024-08-01,0,0.2967864,0.25770963541939335,0.2811556957653144
2024-08-02,0,0.2976363,0.24290739637863207,0.27574474768738577
2024-08-05,0,0.29847285,0.24598431945555516,0.27747744763180854
2024-08-06,0,0.2994328,0.2991440935027559,0.29931733183431464
2024-08-07,0,0.3001193,0.4702133533501044,0.36815693367097435
2024-08-08,0,0.29847723,0.4986830477909988,0.37855956157035614
2024-08-09,0,0.29753044,0.4523098408304238,0.35944220181793307
2024-08-12,1,0.29823297,0.37086619939085774,0.3272862692899582
2024-08-13,0,0.29958704,0.33899112165794376,0.3153486793074036
2024-08-14,1,0.30012393,0.34015778832461047,0.31613747927675884
2024-08-15,1,0.30144852,0.34015778832461036,0.3169322327090327
2024-08-16,1,0.30305442,0.34515778832461047,0.3198957715941493
2024-08-19,0,0.304585,0.34015778832461047,0.3188141301585261
2024-08-20,0,0.30594873,0.35811724984586624,0.3268161524293438
2024-08-21,0,0.30704358,0.41063993361573053,0.3484821287273591
2024-08-22,0,0.30664784,0.4680976284039087,0.3712277566390064
2024-08-23,0,0.30667993,0.4900261998324803,0.3800184524118587
2024-08-26,1,0.30660412,0.5365008636746254,0.39856282470359194
2024-08-27,1,0.30742,0.5339915313167857,0.3980486098068351
2024-08-28,0,0.30853793,0.46743134153115534,0.37209529476256287
2024-08-29,0,0.30935475,0.48548620794336905,0.379807340519114
2024-09-02,0,0.30878168,0.418074393461485,0.3524987704318123
2024-09-03,0,0.3077671,0.3842045166335101,0.3383420625623701
2024-09-04,0,0.30743766,0.37241593087649394,0.3334289792574885
2024-09-05,0,0.3076083,0.36980005786062087,0.33248501592970214
2024-09-06,0,0.30755186,0.3781333911939543,0.33578447892364194
2024-09-09,0,0.3071427,0.3930124234520187,0.34149059519619906
2024-09-10,0,0.30790564,0.4107667530960402,0.3490500907256826
2024-09-11,1,0.30864224,0.3813158889660675,0.3377116986135419
2024-09-12,1,0.308908,0.35497828219179817,0.3273361132297695
2024-09-13,0,0.3082962,0.3219796913568014,0.31376960169092155
2024-09-16,1,0.30775928,0.33063425819999553,0.3169092802243494
2024-09-17,0,0.30811715,0.35143881944965427,0.32544583045701625
2024-09-18,0,0.30880305,0.35019940791765536,0.3253616061140684
2024-09-19,0,0.30982932,0.3531681579176553,0.32716486679808177
2024-09-20,0,0.3107832,0.4235641971950366,0.3558956063081675
2024-09-23,0,0.3113242,0.43228496124530635,0.35970851882372223
2024-09-24,0,0.3119217,0.4458283994266898,0.365484371331116
2024-09-25,0,0.31187508,0.43368143423997835,0.36059763067803174
2024-09-26,0,0.31129736,0.4324432940347591,0.3597557437842528
2024-09-27,0,0.31034854,0.4154127068796854,0.3523742100588123
2024-09-30,0,0.3100451,0.38586845542754666,0.3403744470904904
2024-10-01,0,0.30975395,0.3897963601647591,0.34177092267269993
